MLP Curve Statistics — sampled at intervals of 5
============================================================

TRAINING LOSS CURVE (every 5 iterations)
========================================
 Iteration        Loss
------------------------
         1    1.072288
         6    0.830330
        11    0.750471
        16    0.688460
        21    0.647031
        26    0.593197
        31    0.557427
        36    0.535949
        41    0.510761
        46    0.495959
        51    0.486291
        56    0.477292
        61    0.461856
        66    0.474356
        71    0.460214
        76    0.449214
        81    0.439403
        86    0.433440
        91    0.429529
        96    0.428429
       101    0.418034
       106    0.414211
       111    0.422814
       116    0.417955
       121    0.402308
       126    0.399451
       131    0.397136
       136    0.391238
       141    0.390098
       146    0.405463
       148    0.392443

PRECISION-CONFIDENCE CURVE (threshold step 0.05)
================================================
 Threshold   ATTENTIVE      SLEEPY  DISTRACTED
----------------------------------------------
      0.04      0.4739      0.6771      0.4548
      0.05      0.4784      0.6802      0.4604
      0.05      0.4865      0.6959      0.4778
      0.10      0.5385      0.7268      0.5434
      0.10      0.5426      0.7304      0.5538
      0.15      0.5714      0.7668      0.6018
      0.15      0.5785      0.7708      0.6099
      0.20      0.5913      0.8258      0.6701
      0.20      0.5965      0.8249      0.6701
      0.25      0.6368      0.8480      0.7207
      0.25      0.6398      0.8480      0.7288
      0.30      0.6802      0.8606      0.7750
      0.30      0.6802      0.8659      0.7750
      0.31      0.6802      0.8659      0.7799
      0.34      0.7000      0.8712      0.8054
      0.35      0.7037      0.8712      0.8054
      0.35      0.7021      0.8765      0.8041
      0.39      0.7088      0.8861      0.8112
      0.40      0.7127      0.8910      0.8169
      0.40      0.7111      0.8910      0.8227
      0.45      0.7381      0.8903      0.8409
      0.45      0.7365      0.8903      0.8397
      0.50      0.7610      0.8954      0.8548
      0.50      0.7658      0.8954      0.8525
      0.55      0.7778      0.9122      0.8707
      0.55      0.7815      0.9122      0.8696
      0.60      0.8028      0.9167      0.8846
      0.60      0.8028      0.9167      0.8846
      0.61      0.8028      0.9167      0.8846
      0.65      0.8296      0.9225      0.8800
      0.65      0.8296      0.9225      0.8878
      0.66      0.8284      0.9220      0.8878
      0.69      0.8760      0.9185      0.8936
      0.70      0.8750      0.9173      0.8936
      0.70      0.8750      0.9167      0.9032
      0.75      0.8991      0.9297      0.9048
      0.75      0.8962      0.9365      0.9048
      0.80      0.9032      0.9496      0.8987
      0.80      0.9111      0.9496      0.9091
      0.85      0.9130      0.9554      0.9565
      0.85      0.9104      0.9545      0.9559
      0.90      0.9362      0.9677      0.9508
      0.90      0.9362      0.9677      0.9492
      0.95      1.0000      0.9865      0.9565
      0.95      1.0000      0.9857      0.9556
      0.96      1.0000      0.9855      0.9524

RECALL-CONFIDENCE CURVE (threshold step 0.05)
=============================================
 Threshold   ATTENTIVE      SLEEPY  DISTRACTED
----------------------------------------------
      0.04      0.9667      1.0000      1.0000
      0.05      0.9600      1.0000      1.0000
      0.05      0.9600      1.0000      1.0000
      0.10      0.9333      0.9868      0.9536
      0.10      0.9333      0.9868      0.9536
      0.15      0.9333      0.9801      0.9007
      0.15      0.9333      0.9801      0.9007
      0.20      0.9067      0.9735      0.8742
      0.20      0.9067      0.9669      0.8742
      0.25      0.9000      0.9603      0.8543
      0.25      0.9000      0.9603      0.8543
      0.30      0.8933      0.9404      0.8212
      0.30      0.8933      0.9404      0.8212
      0.31      0.8933      0.9404      0.8212
      0.34      0.8867      0.9404      0.7947
