MLP Curve Statistics — MLP_V1 — sampled at intervals of 5
============================================================

TRAINING LOSS CURVE (every 5 iterations)
========================================
 Iteration        Loss
------------------------
         1    1.054073
         6    0.714160
        11    0.583911
        16    0.517803
        21    0.477592
        26    0.444744
        31    0.426070
        36    0.405298
        41    0.380962
        46    0.371941
        51    0.352215
        56    0.344487
        61    0.338180
        66    0.317359
        71    0.313401
        76    0.309461
        77    0.300937

PRECISION-CONFIDENCE CURVE (threshold step 0.05)
================================================
 Threshold   ATTENTIVE      SLEEPY  DISTRACTED
----------------------------------------------
      0.04      0.5053      0.6757      0.5120
      0.05      0.5109      0.6944      0.5192
      0.05      0.5242      0.6977      0.5267
      0.10      0.5600      0.7614      0.5992
      0.10      0.5582      0.7772      0.6068
      0.15      0.6009      0.8132      0.6495
      0.15      0.6062      0.8132      0.6445
      0.20      0.6364      0.8529      0.6839
      0.20      0.6394      0.8529      0.6839
      0.25      0.6751      0.8614      0.7081
      0.25      0.6751      0.8667      0.7081
      0.30      0.7059      0.8820      0.7365
      0.30      0.7097      0.8868      0.7394
      0.31      0.7135      0.8868      0.7394
      0.34      0.7191      0.8868      0.7468
      0.35      0.7191      0.8868      0.7468
      0.35      0.7273      0.8868      0.7468
      0.39      0.7500      0.8868      0.7632
      0.40      0.7500      0.8861      0.7632
      0.40      0.7500      0.8861      0.7718
      0.45      0.7640      0.8910      0.7958
      0.45      0.7640      0.8896      0.8071
      0.50      0.7722      0.9067      0.8134
      0.50      0.7756      0.9067      0.8134
      0.55      0.8067      0.9122      0.8140
      0.55      0.8067      0.9122      0.8203
      0.60      0.8169      0.9172      0.8571
      0.60      0.8156      0.9167      0.8632
      0.61      0.8156      0.9167      0.8632
      0.65      0.8134      0.9155      0.8673
      0.65      0.8134      0.9155      0.8624
      0.66      0.8120      0.9155      0.8624
      0.69      0.8359      0.9275      0.8654
      0.70      0.8492      0.9275      0.8654
      0.70      0.8560      0.9275      0.8641
      0.75      0.8807      0.9248      0.8632
      0.75      0.8879      0.9248      0.8723
      0.80      0.8911      0.9225      0.9070
      0.80      0.8911      0.9219      0.9070
      0.85      0.9157      0.9500      0.9231
      0.85      0.9157      0.9496      0.9231
      0.90      0.9219      0.9554      0.9412
      0.90      0.9167      0.9550      0.9552
      0.95      0.9655      0.9700      0.9636
      0.95      1.0000      0.9697      0.9623
      0.96      1.0000      0.9794      0.9600

RECALL-CONFIDENCE CURVE (threshold step 0.05)
=============================================
 Threshold   ATTENTIVE      SLEEPY  DISTRACTED
----------------------------------------------
      0.04      0.9467      0.9934      0.9868
      0.05      0.9400      0.9934      0.9868
      0.05      0.9400      0.9934      0.9801
      0.10      0.9333      0.9934      0.9404
      0.10      0.9267      0.9934      0.9404
      0.15      0.9133      0.9801      0.9205
      0.15      0.9133      0.9801      0.9007
      0.20      0.8867      0.9603      0.8742
      0.20      0.8867      0.9603      0.8742
      0.25      0.8867      0.9470      0.8675
      0.25      0.8867      0.9470      0.8675
      0.30      0.8800      0.9404      0.8146
